namn1,namn2,pris,köp antal,tot pris,länk,stil,land,storlek,alkohol,antal i butik,sektion,hylla
Duckpond,Darkwing,46.9,,,https://www.systembolaget.se/produkt/ol/duckpond-3463215/,"Öl, Syrlig öl, Gose och lichtenhainer",Sverige,330,6.0,24,–,–
Bellwoods Brewery,Jelly King Prickly Pear & Pink Guava,50.9,,,https://www.systembolaget.se/produkt/ol/bellwoods-brewery-1086314/,"Öl, Övrig syrlig öl",Kanada,473,5.6,39,TS,00
Duchesse de Bourgogne,,28.9,,,https://www.systembolaget.se/produkt/ol/duchesse-de-bourgogne-8949603/,"Öl, Syrlig öl, Flamländsk röd och brun öl",Belgien,250,6.2,137,–,–
Vault City,Vault Dweller Toxic Waste Sour,55.9,,,https://www.systembolaget.se/produkt/ol/vault-city-8829314/,"Öl, Övrig syrlig öl",Storbritannien,440,4.3,31,TS,00
White Dog Brewery,Will it float #7,70.9,,,https://www.systembolaget.se/produkt/ol/white-dog-brewery-1020714/,"Öl, Övrig syrlig öl",Nederländerna,440,6.0,50,TS,00
Beersmiths,Paired for Life,38.5,,,https://www.systembolaget.se/produkt/ol/beersmiths-3059712/,"Öl, Övrig syrlig öl",Sverige,500,4.6,45,32,06
Sad Robot,Sur,27.5,,,https://www.systembolaget.se/produkt/ol/sad-robot-3134803/,"Öl, Övrig syrlig öl",Sverige,330,6.9,71,32,07
,,,,,,,,,,,,
cider,,,,,,,,,,,,
Liquid Industries,The Bellini Project,17.9,,,https://www.systembolaget.se/produkt/cider-blanddrycker/liquid-industries-108915/,Blanddryck Söt,Sverige,330,4.5,18,24,04
Ginger Joe,Ginger Beer,23.5,,,https://www.systembolaget.se/produkt/cider-blanddrycker/ginger-joe-8801802/,Blanddryck Söt,Internationellt märke,330,4.0,105,24,03
Pistonhead,Cider Hallon och Svarta vinbär,15.9,,,https://www.systembolaget.se/produkt/cider-blanddrycker/pistonhead-1306715/,Cider Söt,Sverige,330,4.5,10,24,04
Adam & Evas Äppelcider,,22.9,,,https://www.systembolaget.se/produkt/cider-blanddrycker/adam-evas-appelcider-117115/,"Cider, Torr och halvtorr",Sverige,250,4.5,47,23,01
En Svensk Cider,Päron,16.9,,,https://www.systembolaget.se/produkt/cider-blanddrycker/en-svensk-cider-181715/,"Cider, Söt",Sverige,330,4.5,56,24,03
